project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Adolfo López Mateos power station,Adolfo López Mateos power station,4,4,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,,Mexico,operating,operating,1994,350,,MW,point,21.019,-97.334,,https://gem.wiki/Adolfo_López_Mateos_power_station,operating
Adolfo López Mateos power station,Adolfo López Mateos power station,5,5,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,,Mexico,operating,operating,1995,350,,MW,point,21.019,-97.334,,https://gem.wiki/Adolfo_López_Mateos_power_station,operating
Adolfo López Mateos power station,Adolfo López Mateos power station,6,6,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,,Mexico,operating,operating,1995,350,,MW,point,21.019,-97.334,,https://gem.wiki/Adolfo_López_Mateos_power_station,operating
Agua Del Cajón power station,Central Térmica Agua del Cajón,1,1,gas_power_plant,Capex SA Autogenerador,Capex SA,Neuquén,Argentina,operating,operating,2000,672,,MW,point,-38.936,-68.357,,https://gem.wiki/Agua_Del_Cajón_power_station,operating
Agua Prieta II power station,Planta CC Agua Prieta II,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Sonora,Mexico,operating,operating,2015,409,,MW,point,31.266,-109.59,,https://gem.wiki/Agua_Prieta_II_power_station,operating
Aguaprieta power station,Central CC Parque de Generación Aguaprieta,1,1,gas_power_plant,Parque de Generación Aguaprieta SAPI de CV,Parque de Generación Aguaprieta SAPI de CV,Sonora,Mexico,cancelled,cancelled,,607.5,,MW,point,31.313,-109.61,,https://gem.wiki/Aguaprieta_power_station,cancelled
Aguaytía power station,Central Termoeléctrica Aguaytía,TG1,TG1,gas_power_plant,Termoselva SRL,Nautilus Energy Partners LLC,Ucayali,Peru,operating,operating,1998,101,,MW,point,-9.0287,-75.493,,https://gem.wiki/Aguaytía_power_station,operating
Aguaytía power station,Central Termoeléctrica Aguaytía,TG2,TG2,gas_power_plant,Termoselva SRL,Nautilus Energy Partners LLC,Ucayali,Peru,operating,operating,1998,101,,MW,point,-9.0287,-75.493,,https://gem.wiki/Aguaytía_power_station,operating
Alberto Lovera power station,Planta Termoeléctrica Alberto Lovera,PAL-01,PAL-01,gas_power_plant,Corporación Eléctrica Nacional (Venezuela) SA,Corporación Eléctrica Nacional (Venezuela) SA,Anzoátegui,Venezuela,mothballed,mothballed_plus,2012,150,,MW,point,10.22,-64.61,,https://gem.wiki/Alberto_Lovera_power_station,mothballed_plus
Alberto Lovera power station,Planta Termoeléctrica Alberto Lovera,PAL-02,PAL-02,gas_power_plant,Corporación Eléctrica Nacional (Venezuela) SA,Corporación Eléctrica Nacional (Venezuela) SA,Anzoátegui,Venezuela,mothballed,mothballed_plus,2012,150,,MW,point,10.22,-64.61,,https://gem.wiki/Alberto_Lovera_power_station,mothballed_plus
Alfredo Salazar power station,Termoeléctrica Alfredo Salazar,PAS-1,PAS-1,gas_power_plant,Corporación Eléctrica Nacional (Venezuela) SA,Corporación Eléctrica Nacional (Venezuela) SA,Anzoátegui,Venezuela,mothballed,mothballed_plus,1970,90,,MW,point,9.3699,-64.496,,https://gem.wiki/Alfredo_Salazar_power_station,mothballed_plus
Alfredo Salazar power station,Termoeléctrica Alfredo Salazar,PAS-2,PAS-2,gas_power_plant,Corporación Eléctrica Nacional (Venezuela) SA,Corporación Eléctrica Nacional (Venezuela) SA,Anzoátegui,Venezuela,operating,operating,1970,70,,MW,point,9.3699,-64.496,,https://gem.wiki/Alfredo_Salazar_power_station,operating
