project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Barker power station,Central Térmica Barker,CC,CC,gas_power_plant,MSU Energy,MSU Energy Holding Ltd [75.3%]; other [24.7%],Buenos Aires,Argentina,operating,operating,2020,250,,MW,point,-37.548,-59.455,,https://gem.wiki/Barker_power_station,operating
Batalla de Santa Inés power station,Termoeléctrica Batalla de Santa Inés,1,1,gas_power_plant,Petróleos de Venezuela SA,Government of Venezuela,Barinas,Venezuela,operating,operating,2017,99.6,,MW,point,8.412,-70.125,,https://gem.wiki/Batalla_de_Santa_Inés_power_station,operating
Bavaro power station,Central térmica Bávaro Punta Cana,1,1,gas_power_plant,Consorcio Energético Punta Cana-Macao [TO BE DELETED],Consorcio Energético Punta Cana-Macao [TO BE DELETED],La Altagracia,Dominican Republic,operating,operating,2019,51,,MW,point,18.664,-68.433,,https://gem.wiki/Bavaro_power_station,operating
Belém power station,Usina Termelétrica Belém,I,I,gas_power_plant,Atem Distribuidora de Petróleo SA,Atem Distribuidora de Petróleo SA,Pará,Brazil,announced,proposed_plus,,150,,MW,point,-1.4019,-48.493,,https://gem.wiki/Belém_power_station,proposed_plus
Belém power station,Usina Termelétrica Belém,II,II,gas_power_plant,Atem Distribuidora de Petróleo SA,Atem Distribuidora de Petróleo SA,Pará,Brazil,announced,proposed_plus,,150,,MW,point,-1.4019,-48.493,,https://gem.wiki/Belém_power_station,proposed_plus
Bicentenario power station,Central Térmica Bicentenario,CC,CC,gas_power_plant,EPEC Generación,Empresa Provincial de Energia de Cordoba,Córdoba,Argentina,operating,operating,2010,466,,MW,point,-31.668,-63.834,,https://gem.wiki/Bicentenario_power_station,operating
Bloque CCGN (Ecuador) power station,Central Bloque CCGN (Ecuador),1,1,gas_power_plant,,,Santa Elena,Ecuador,announced,proposed_plus,2026,400,,MW,point,-2.187,-80.838,,https://gem.wiki/Bloque_CCGN_(Ecuador)_power_station,proposed_plus
Boca Chica power station,Central Termoeléctrica en Boca Chica,1,1,gas_power_plant,Karpowership Dominican Republic SAS,Karadeniz Holding AS,Santo Domingo,Dominican Republic,cancelled,cancelled,,258,,MW,point,18.456,-69.611,,https://gem.wiki/Boca_Chica_power_station,cancelled
Boca de Jaruco power station,Central Termoeléctrica Boca de Jaruco,1,1,gas_power_plant,Energas SA,CUPET-Union Cubapetroleo [33.3%]; Sherritt International Corp [33.3%]; Unión Eléctrica de Cuba [33.3%],Mayabeque,Cuba,operating,operating,2015,313,,MW,point,23.182,-82.017,,https://gem.wiki/Boca_de_Jaruco_power_station,operating
Bogue power station,Bogue power station,1,1,gas_power_plant,Jamaica Public Service Co Ltd,Korea Electric Power Corp [40.0%]; Marubeni Corp [40.0%]; Development Bank of Jamaica [19.9%]; other [0.1%],Cornwall,Jamaica,operating,operating,2003,120,,MW,point,18.452,-77.918,,https://gem.wiki/Bogue_power_station,operating
Braskem Idesa power station,Central eléctrica Braskem Idesa,1,1,gas_power_plant,Braskem Idesa SAPI,Braskem [75.0%]; Grupo Idesa [25.0%],Veracruz,Mexico,operating,operating,2016,175.6,,MW,point,18.067,-94.374,,https:/.gem.wiki/Braskem_Idesa_power_station,operating
Brigadier López power station,Central Termoeléctrica Brigadier López,BLOPTG01,BLOPTG01,gas_power_plant,Central Puerto SA,Central Puerto SA,Santa Fe,Argentina,operating,operating,2012,281,,MW,point,-31.711,-60.781,,https://gem.wiki/Brigadier_López_power_station,operating
Brigadier López power station,Central Termoeléctrica Brigadier López,ST1,ST1,gas_power_plant,Central Puerto SA,Central Puerto SA,Santa Fe,Argentina,announced,proposed_plus,,140,,MW,point,-31.711,-60.781,,https://gem.wiki/Brigadier_López_power_station,proposed_plus
Bulo Bulo power station,Central Bulo Bulo,3,3,gas_power_plant,Chaco Energías SA,YPFB Corporación,Cochabamba,Bolivia,operating,operating,2014,50,,MW,point,-17.242,-64.541,,https://gem.wiki/Bulo_Bulo_power_station,operating
CCC González Ortega power station,Central CC González Ortega,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Baja California,Mexico,construction,construction_plus,2025,683,,MW,point,32.549,-115.35,,https://gem.wiki/CCC_Gonz%C3%A1lez_Ortega_power_station,construction_plus
CCC Mérida power station,Central CC Mérida,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Yucatán,Mexico,construction,construction_plus,2024,509,,MW,point,20.927,-89.688,,https://gem.wiki/CCC_M%C3%A9rida_power_station,construction_plus
CCC Norte IV (Lerdo) power station,Central CC Norte IV (Lerdo),1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Durango,Mexico,construction,construction_plus,2026,409,,MW,point,25.497,-103.57,,https://gem.wiki/CCC_Norte_IV_(Lerdo)_power_station,construction_plus
CCC Norte-III power station,Central CC Norte III,1,1,gas_power_plant,Abeinsa Juárez N-III SA de CV,Macquarie Group Ltd [45.5%]; InfraRed [35.5%]; Invex Infraestructura [10.0%]; Techint SA de CV [9.0%],Chihuahua,Mexico,operating,operating,2020,453,,MW,point,31.473,-106.47,,https://gem.wiki/CCC_Norte-III_power_station,operating
CCC Norte-III power station,Central CC Norte III,2,2,gas_power_plant,Abeinsa Juárez N-III SA de CV,Macquarie Group Ltd [45.5%]; InfraRed [35.5%]; Invex Infraestructura [10.0%]; Techint SA de CV [9.0%],Chihuahua,Mexico,operating,operating,2020,453,,MW,point,31.473,-106.47,,https://gem.wiki/CCC_Norte-III_power_station,operating
CCC Riviera Maya (Valladolid) power station,Central CC Riviera Maya (Valladolid IV),1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Yucatán,Mexico,construction,construction_plus,2025,1037,,MW,point,20.698,-88.27,,https://gem.wiki/CCC_Riviera_Maya_(Valladolid)_power_station,construction_plus
CCC San Luis Río Colorado power station,Central CC San Luis Río Colorado,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Sonora,Mexico,construction,construction_plus,2025,680,,MW,point,32.421,-114.71,,https://gem.wiki/CCC_San_Luis_R%C3%ADo_Colorado_power_station,construction_plus
CCC Tuxpan Phase I power station,Central CC Tuxpan Fase I,1,1,gas_power_plant,Comisión Federal de Electricidad EPE,Comisión Federal de Electricidad EPE,Veracruz,Mexico,construction,construction_plus,2025,1086,,MW,point,21.011,-97.33,,https://gem.wiki/CCC_Tuxpan_Phase_I_power_station,construction_plus
CELCSA cogeneration power station,Planta de Cogeneración Cosoleacaque,1,1,gas_power_plant,ContourGlobal Terra 3 S.à.r.l,KKR Co Inc,Veracruz,Mexico,operating,operating,2014,118,,MW,point,18.039,-94.597,,https:/.gem.wiki/CELCSA_cogeneration_power_station,operating
CENSA power station,Central Termoeléctrica CENSA,1,1,gas_power_plant,Corporación Eléctrica Nicaraguense SA,M & Block SA,León,Nicaragua,operating,operating,1997,68.3,,MW,point,12.186,-86.747,,https:/.gem.wiki/CENSA_power_station,operating
CMPC Cordillera power station,Central de Cogeneración Puente Alto,1,1,gas_power_plant,Bioenergías Forestales SA,CMPC Celulosa SA [92.5%]; Empresas CMPC SA [7.4%],Metropolitana de Santiago,Chile,operating,operating,,53,,MW,point,-33.611,-70.565,,https://gem.wiki/CMPC_Cordillera_power_station,operating
CST power station,UTE da Companhia Siderúrgica de Tubarão,1,1,gas_power_plant,ArcelorMittal Brasil SA,ArcelorMittal SA; other,Espírito Santo,Brazil,operating,operating,2003,75,,MW,point,-20.252,-40.242,,https:/.gem.wiki/CST_power_station,operating
CST power station,UTE da Companhia Siderúrgica de Tubarão,2,2,gas_power_plant,ArcelorMittal Brasil SA,ArcelorMittal SA; other,Espírito Santo,Brazil,operating,operating,2003,75,,MW,point,-20.252,-40.242,,https:/.gem.wiki/CST_power_station,operating
CST power station,UTE da Companhia Siderúrgica de Tubarão,3,3,gas_power_plant,ArcelorMittal Brasil SA,ArcelorMittal SA; other,Espírito Santo,Brazil,operating,operating,2003,75,,MW,point,-20.252,-40.242,,https:/.gem.wiki/CST_power_station,operating
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,1,1,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,mothballed,mothballed_plus,1969,64,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,mothballed_plus
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,2,2,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,mothballed,mothballed_plus,1969,64,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,mothballed_plus
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,3,3,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,mothballed,mothballed_plus,1969,64,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,mothballed_plus
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,4,4,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,operating,operating,1969,125,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,operating
CT 10 de Octubre power station,Central Termoeléctrica 10 de Octubre,5,5,gas_power_plant,Unión Eléctrica de Cuba,Unión Eléctrica de Cuba,Camagüey,Cuba,operating,operating,1969,125,,MW,point,21.567,-77.272,,https://gem.wiki/CT_10_de_Octubre_power_station,operating
