project_en,project,unit_en,unit,type,owner,parent,province,country,status_tabular,status,start_year,capacity,production,units,geom,lat,lng,route,url_en,url
Ixachi,Ixachi,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,2019,,9.21,million boe/y,point,18.51,-96.102,,https://www.gem.wiki/Ixachi_Oil_and_Gas_Field_(Mexico),https://gem.wiki/Campo_de_Petróleo_y_Gas_Ixachi_(México)
Ixtal,Ixtal,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,2005,,8.04,million boe/y,point,19.378,-92.338,,https://www.gem.wiki/Ixtal_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Ixtal_(México)
Ixtoc,Ixtoc,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,1984,,4.94,million boe/y,point,19.444,-92.217,,https://www.gem.wiki/Ixtoc_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Ixtoc_(México)
Jaguel Casa de Piedra Sur,Jaguel Casa de Piedra Sur,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2016,,0.33,million boe/y,point,-37.409,-68.475,,https://www.gem.wiki/Jaguel_Casa_de_Piedra_Sur_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jaguel_Casa_de_Piedra_Sur_(Argentina)
Jagüel Casa de Piedra,Jagüel Casa de Piedra,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.64,million boe/y,point,-37.406,-68.44,,https://www.gem.wiki/Jagüel_Casa_de_Piedra_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jagüel_Casa_de_Piedra_(Argentina)
Jagüel de los Machos,Jagüel de los Machos,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.51,million boe/y,point,-38.233,-69.267,,https://www.gem.wiki/Jagüel_de_los_Machos_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jagüel_de_los_Machos_(Argentina)
Jazmin,Jazmin,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,1.49,million boe/y,point,6.321,-74.478,,https://www.gem.wiki/Jazmin_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jazmin_(Colombia)
Johanna Este,Johanna Este,,,oil_and_gas_extraction_area,Andes Petroleum Ecuador Ltd (100%),China National Petroleum Corporation (55%);SINOPEC (45%),,Ecuador,operating,operating,,,3.75,million boe/y,point,-0.47432,-86.978,,https://www.gem.wiki/Johanna_Este_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Johanna_Este_(Ecuador)
Jorge,Jorge,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.19,million boe/y,point,-45.919,-68.328,,https://www.gem.wiki/Jorge_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jorge_(Argentina)
Jubarte,Jubarte,,,oil_and_gas_extraction_area,Petrobras (100%),Petrobras (100%);Petróleo Brasileiro S.A. (100%),,Brazil,operating,operating,2002,,66.52,million boe/y,point,-21.321,-40.023,,https://www.gem.wiki/Jubarte_Oil_and_Gas_Field_(Brazil),https://gem.wiki/Campo_de_Petróleo_e_Gás_Jubarte_(Brasil)
Jujo-Tecominoacán,Jujo-Tecominoacán,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,1980,,4.48,million boe/y,point,17.878,-93.517,,https://www.gem.wiki/Jujo-Tecominoacán_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Jujo-Tecominoacán_(México)
Kab,Kab,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,,,2.26,million boe/y,point,18.791,-92.733,,https://www.gem.wiki/Kab_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Kab_(México)
Kambesah,Kambesah,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,,,3.55,million boe/y,point,19.403,-92.156,,https://www.gem.wiki/Kambesah_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Kambesah_(México)
Kanaab,Kanaab,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,,,1.27,million boe/y,point,19.353,-92.233,,https://www.gem.wiki/Kanaab_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Kanaab_(México)
Kax,Kax,,,oil_and_gas_extraction_area,,,,Mexico,operating,operating,1995,,3.97,million boe/y,point,19.13,-92.481,,https://www.gem.wiki/Kax_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Kax_(México)
Km. 20,Km. 20,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.32,million boe/y,point,-45,-67.833,,https://www.gem.wiki/Km._20_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Km._20_(Argentina)
Koluel Kaike (Santa Cruz) - Pan American,Koluel Kaike (Santa Cruz) - Pan American,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.64,million boe/y,point,-46.707,-68.281,,https://www.gem.wiki/Koluel_Kaike_(Santa_Cruz)_-_Pan_American_Oil_and_Gas_Asset_(Argentina),https://www.gem.wiki/Activo_Petróleo_y_Gas_Koluel_Kaike_(Santa_Cruz)_-_Pan_American_(Argentina)
Ku,Ku,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,1981,,47.54,million boe/y,point,19.508,-92.197,,https://www.gem.wiki/Ku_Oil_and_Gas_Field_(Mexico),https://gem.wiki/Campo_de_Petróleo_y_Gas_Ku_(México)
Kuil,Kuil,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,operating,operating,2012,,2.28,million boe/y,point,19.048,-92.198,,https://www.gem.wiki/Kuil_Oil_and_Gas_Field_(Mexico),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Kuil_(México)
La Amarga Chica,La Amarga Chica,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2010,,7.88,million boe/y,point,-38.189,-68.662,,https://www.gem.wiki/La_Amarga_Chica_Oil_and_Gas_Field_(Argentina),https://gem.wiki/Campo_de_Petróleo_y_Gas_La_Amarga_Chica_(Argentina)
La Calera,La Calera,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,6.95,million boe/y,point,-38.332,-69.001,,https://www.gem.wiki/La_Calera_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Calera_(Argentina)
La Cañada Norte,La Cañada Norte,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.58,million boe/y,point,2.428,-75.631,,https://www.gem.wiki/La_Cañada_Norte_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Cañada_Norte_(Colombia)
La Cira,La Cira,,,oil_and_gas_extraction_area,Ecopetrol S.A.;Occidental Petroleum Corporation,Ecopetrol S.A.;Occidental Petroleum Corporation,,Colombia,operating,operating,1921,,11.28,million boe/y,point,6.949,-73.77,,https://www.gem.wiki/La_Cira_Oil_and_Gas_Field_(Colombia),https://gem.wiki/Campo_de_Petróleo_y_Gas_La_Cira_(Colombia)
La Creciente (San Pedro),La Creciente (San Pedro),,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.81,million boe/y,point,9.385,-75.075,,https://www.gem.wiki/La_Creciente_(San_Pedro)_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Creciente_(San_Pedro)_(Colombia)
La Hocha,La Hocha,,,oil_and_gas_extraction_area,,,,Colombia,operating,operating,,,0.35,million boe/y,point,2.428,-75.631,,https://www.gem.wiki/La_Hocha_Oil_and_Gas_Field_(Colombia),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Hocha_(Colombia)
La Madreselva,La Madreselva,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.51,million boe/y,point,-45.864,-68.486,,https://www.gem.wiki/La_Madreselva_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Madreselva_(Argentina)
La Madreselva Sur,La Madreselva Sur,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.39,million boe/y,point,-45.891,-68.434,,https://www.gem.wiki/La_Madreselva_Sur_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Madreselva_Sur_(Argentina)
La Piedra,La Piedra,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.29,million boe/y,point,-45.714,-68.182,,https://www.gem.wiki/La_Piedra_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Piedra_(Argentina)
La Ribera Bloque I,La Ribera Bloque I,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,2010,,1.8,million boe/y,point,-38.431,-69.017,,https://www.gem.wiki/La_Ribera_Bloque_I_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Ribera_Bloque_I_(Argentina)
La Yesera,La Yesera,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.32,million boe/y,point,-38.233,-69.267,,https://www.gem.wiki/La_Yesera_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_La_Yesera_(Argentina)
Lago Agrio,Lago Agrio,,,oil_and_gas_extraction_area,,,,Ecuador,operating,operating,,,1.37,million boe/y,point,-0.47432,-86.978,,https://www.gem.wiki/Lago_Agrio_Oil_and_Gas_Field_(Ecuador),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lago_Agrio_(Ecuador)
Lago Fuego,Lago Fuego,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.5,million boe/y,point,-53.971,-67.609,,https://www.gem.wiki/Lago_Fuego_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Lago_Fuego_(Argentina)
Lakach,Lakach,,,oil_and_gas_extraction_area,PEMEX,Petroleos Mexicanos,,Mexico,in-development,construction_plus,,,,,point,19.052,-95.266,,https://www.gem.wiki/Lakach_Oil_and_Gas_Field_(Mexico),https://gem.wiki/Campo_de_Petróleo_y_Gas_Lakach_(México)
Lapa,Lapa,,,oil_and_gas_extraction_area,TotalEnergies E&P do Brasil (35%);Shell Brasil (30%);Repsol Sinopec Resources UK Limited (25%);Petrobras (10%),TotalEnergies (35%);Shell plc (30%);Repsol SA (12.8%);SINOPEC (12.2%);Petrobras (10%);Petróleo Brasileiro S.A. (10%),,Brazil,operating,operating,2016,,19.94,million boe/y,point,-25.561,-43.483,,https://www.gem.wiki/Lapa_Oil_and_Gas_Field_(Brazil),https://gem.wiki/Campo_de_Petróleo_e_Gás_Lapa_(Brasil)
Las Flores,Las Flores,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.72,million boe/y,point,-45.674,-68.588,,https://www.gem.wiki/Las_Flores_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Las_Flores_(Argentina)
Las Heras (Santa Cruz) - Sinopec,Las Heras (Santa Cruz) - Sinopec,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.25,million boe/y,point,-46.659,-68.85,,https://www.gem.wiki/Las_Heras_(Santa_Cruz)_-_Sinopec_Oil_and_Gas_Asset_(Argentina),https://www.gem.wiki/Activo_Petróleo_y_Gas_Las_Heras_(Santa_Cruz)_-_Sinopec_(Argentina)
Las Heras (Santa Cruz) - YPF,Las Heras (Santa Cruz) - YPF,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,1.03,million boe/y,point,-46.573,-68.925,,https://www.gem.wiki/Las_Heras_(Santa_Cruz)_-_YPF_Oil_and_Gas_Asset_(Argentina),https://www.gem.wiki/Activo_Petróleo_y_Gas_Las_Heras_(Santa_Cruz)_-_YPF_(Argentina)
Las Mesetas,Las Mesetas,,,oil_and_gas_extraction_area,,,,Argentina,operating,operating,,,0.96,million boe/y,point,-46.17,-69.329,,https://www.gem.wiki/Las_Mesetas_Oil_and_Gas_Field_(Argentina),https://www.gem.wiki/Campo_de_Petróleo_y_Gas_Las_Mesetas_(Argentina)
Leste do Urucu,Leste do Urucu,,,oil_and_gas_extraction_area,Petrobras (100%),Petrobras (100%);Petróleo Brasileiro S.A. (100%),,Brazil,operating,operating,1992,,,,point,-4.857,-65.123,,https://www.gem.wiki/Leste_do_Urucu_Oil_and_Gas_Field_(Brazil),https://www.gem.wiki/Campo_de_Petróleo_e_Gás_Leste_do_Urucu_(Brasil)
